mismatch_type,link_id,in_links_index,in_link_to_paths,path_count,sample_path_ids,street_name_1,street_name_2,street_name_3,note
missing_in_link_to_paths,2938,1,0,0,,BEAVER AVE,,,r
missing_in_link_to_paths,2961,1,0,0,,GREENSBURG PKWY,,,r
missing_in_link_to_paths,2999,1,0,0,,OHIO RIVER BLVD,,,r
missing_in_link_to_paths,3000,1,0,0,,,,,r
missing_in_link_to_paths,3001,1,0,0,,OHIO RIVER BLVD,,,r
missing_in_link_to_paths,3029,1,0,0,,WEST SMITHFIELD ST,,,r
missing_in_link_to_paths,3049,1,0,0,,,,,r
missing_in_link_to_paths,3056,1,0,0,,,,,r
missing_in_link_to_paths,3057,1,0,0,,,,,r
missing_in_link_to_paths,3058,1,0,0,,RAMP RD/TO RAMP RD 0750,,,r
missing_in_link_to_paths,3066,1,0,0,,MCKEE RD,,,r
missing_in_link_to_paths,3093,1,0,0,,29TH ST,,,r
missing_in_link_to_paths,3095,1,0,0,,TENTH ST,,,r
missing_in_link_to_paths,3097,1,0,0,,FORT DUQUESNE BLVD,,,r
missing_in_link_to_paths,3111,1,0,0,,PERRY HWY,,,r
missing_in_link_to_paths,3120,1,0,0,,,,,r
missing_in_link_to_paths,3156,1,0,0,,,,,r
missing_in_link_to_paths,3167,1,0,0,,BRODHEAD RD,,,r
missing_in_link_to_paths,3177,1,0,0,,CRAFTON BLVD,,,r
missing_in_link_to_paths,3199,1,0,0,,WEST ALLEGHENY RD,,,r
missing_in_link_to_paths,3230,1,0,0,,CREIGHTON RUN RD,,,r
missing_in_link_to_paths,3231,1,0,0,,,,,r
missing_in_link_to_paths,3232,1,0,0,,,,,r
missing_in_link_to_paths,3234,1,0,0,,BEECHWOOD BLVD,,,r
missing_in_link_to_paths,3242,1,0,0,,SALTSBURG RD,,,r
missing_in_link_to_paths,3243,1,0,0,,SALTSBURG RD,,,r
missing_in_link_to_paths,3244,1,0,0,,UNITY CENTER RD,,,r
missing_in_link_to_paths,3253,1,0,0,,MOON AND CLINTON RD,,,r
